n_ms2rt_tuples,sample,n_cand_tot,n_cand_med,n_cand_avg,n_cand_max,training_time,scoring_time
60,8,27025,173.0,450.4166666666667,3029,147.42976832389832,17.391342401504517
75,8,37032,186.0,493.76,3152,238.7121045589447,28.203959226608276
15,9,6745,57.0,449.6666666666667,4066,24.322801113128662,2.9460229873657227
30,9,9372,92.0,312.4,4066,35.694666147232056,4.710890054702759
45,9,15873,101.0,352.73333333333335,4066,71.70831727981567,8.543753147125244
60,9,21247,96.5,354.1166666666667,4066,98.97061014175415,11.726267337799072
75,9,28315,97.0,377.53333333333336,4066,133.7810516357422,15.903973817825317
15,10,6968,231.0,464.53333333333336,2625,33.81025147438049,3.8918941020965576
30,10,17651,210.0,588.3666666666667,3137,115.35348773002625,13.216185569763184
45,10,22873,210.0,508.2888888888889,3137,139.94401741027832,15.840583801269531
60,10,35992,241.0,599.8666666666667,3137,252.0994794368744,28.864038228988647
75,10,45087,251.0,601.16,3137,316.1413676738739,36.01456117630005
15,11,10246,227.0,683.0666666666667,3668,70.1174304485321,8.196883201599121
30,11,24865,540.5,828.8333333333334,3668,249.50701022148132,31.005794763565063
45,11,33587,380.0,746.3777777777777,3668,298.54567694664,35.66645002365112
60,11,46626,389.5,777.1,3668,431.74919056892395,50.51871943473816
75,11,54619,360.0,728.2533333333333,3668,464.4588327407837,54.90755867958069
15,12,12611,307.0,840.7333333333333,4066,110.66368889808655,12.801614046096802
30,12,17075,184.5,569.1666666666666,4066,111.87839603424072,13.079988956451416
45,12,26840,182.0,596.4444444444445,4066,191.45553874969482,21.762669563293457
60,12,33741,198.5,562.35,4066,230.42442774772644,27.34538698196411
75,12,42289,208.0,563.8533333333334,4066,290.2833423614502,32.9746675491333
15,13,7361,109.0,490.73333333333335,2158,36.301837682724,4.359366178512573
30,13,21042,105.0,701.4,4402,192.5547595024109,22.438063144683838
45,13,26924,110.0,598.3111111111111,4402,196.0383903980255,22.75678014755249
60,13,32247,105.0,537.45,4402,224.69985723495483,26.592716932296753
75,13,42815,109.0,570.8666666666667,4402,305.40441846847534,35.51215720176697
15,14,3966,151.0,264.4,992,11.908498287200928,1.387458086013794
30,14,8665,91.0,288.8333333333333,1345,33.23893451690674,3.7365329265594482
45,14,11586,101.0,257.46666666666664,1345,42.9390709400177,4.888015508651733
60,14,23316,168.5,388.6,3029,108.27951264381409,12.226414203643799
75,14,32920,189.0,438.93333333333334,3029,172.8883934020996,20.027852773666382
