D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.01,inf,-6.651098831333269,-0.7083939584102329,7,train,18.0,57.99999999999999,76.0,44.0,56.00000000000001,0.603
0.05,inf,-7.422208049306853,-0.8411062581143444,7,train,22.0,66.0,74.0,50.0,57.99999999999999,0.635
0.1,inf,-7.47786250919139,-0.7983233856752104,7,train,22.0,68.0,74.0,52.0,57.99999999999999,0.638
0.15,inf,-7.25787545612441,-0.7539720864710313,7,train,22.0,66.0,74.0,52.0,57.99999999999999,0.634
0.25,inf,-6.62399535319181,-0.6652694880626754,7,train,22.0,66.0,74.0,50.0,60.0,0.634
0.35,inf,-5.941522899735061,-0.5765668896543183,7,train,20.0,66.0,74.0,50.0,60.0,0.633
0.5,inf,-4.902594490734372,-0.44351299204178346,7,train,20.0,66.0,74.0,50.0,60.0,0.633
0.0,,,,7,test,30.0,77.0,85.0,56.99999999999999,69.0,0.731
0.001,inf,-9.127188146154957,-0.30312635446222214,7,test,31.0,79.0,86.0,59.0,71.0,0.749
0.005,inf,-9.39716457438815,-0.9591139694884636,7,test,31.0,81.0,87.0,59.0,70.0,0.752
0.01,inf,-9.959724999182503,-1.3214850233575257,7,test,31.0,80.0,86.0,56.99999999999999,68.0,0.7515
0.05,inf,-12.685178168791396,-2.254973473535523,7,test,30.0,82.0,86.0,57.99999999999999,70.0,0.755
0.1,inf,-13.656478974767788,-2.9258175470395087,7,test,30.0,81.0,85.0,61.0,70.0,0.7555
0.15,inf,-13.626501861795322,-3.5327992638729966,7,test,30.0,81.0,85.0,61.0,70.0,0.755
0.25,inf,-12.807097200640085,-4.7467626975399755,7,test,28.999999999999996,81.0,85.0,60.0,70.0,0.7515
0.35,inf,-11.806410692981025,-5.960726131206951,7,test,28.999999999999996,80.0,85.0,60.0,69.0,0.7465
0.5,inf,-10.263038991627477,-7.7816712817074185,7,test,28.000000000000004,77.0,82.0,57.99999999999999,69.0,0.727
0.0,,,,7,train,12.0,64.0,76.0,40.0,52.0,0.588
0.001,inf,-3.4690217938354113,-0.18375864626988267,8,train,32.0,78.0,80.0,57.99999999999999,68.0,0.719
0.005,inf,-3.7743446862859997,-0.48862106993910626,8,train,30.0,76.0,80.0,57.99999999999999,64.0,0.714
0.01,inf,-4.2536567448312645,-0.6541290854073827,8,train,30.0,78.0,80.0,56.00000000000001,62.0,0.713
0.05,inf,-6.407668151093746,-0.9492093677926557,8,train,32.0,72.0,80.0,54.0,64.0,0.678
0.1,inf,-7.1062657396430495,-1.094901218072359,8,train,32.0,66.0,80.0,56.00000000000001,62.0,0.669
0.15,inf,-7.181103804095871,-1.2239566919246183,8,train,32.0,64.0,78.0,54.0,62.0,0.648
0.25,inf,-6.85452967183294,-1.4820676396291388,8,train,30.0,64.0,78.0,54.0,60.0,0.643
0.35,inf,-6.4108396688031295,-1.7401785873336586,8,train,30.0,64.0,74.0,54.0,60.0,0.635
0.5,inf,-5.712786637946792,-2.127345008890438,8,train,28.000000000000004,66.0,72.0,52.0,60.0,0.633
0.0,,,,8,test,22.0,72.0,79.0,47.0,61.0,0.659
