D,k,ndcg,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,,,,6.0,test,0.0,1.3333333333333335,5.333333333333334,0.0,1.3333333333333335,0.024
0.0,,,,,6.0,test,2.666666666666667,13.333333333333334,18.666666666666668,6.666666666666667,10.666666666666668,0.13066666666666665
0.0,,,,,6.0,test,6.666666666666667,24.0,29.333333333333332,14.666666666666666,18.666666666666668,0.226
0.0,,,,,6.0,test,9.333333333333334,32.0,38.666666666666664,21.333333333333336,26.666666666666668,0.30733333333333335
0.0,,,,,6.0,test,13.333333333333334,45.33333333333333,54.666666666666664,29.333333333333332,40.0,0.44533333333333336
0.0,,,,,7.0,test,0.0,2.666666666666667,4.0,0.0,1.3333333333333335,0.021333333333333333
0.0,,,,,7.0,test,6.666666666666667,14.666666666666666,17.333333333333336,10.666666666666668,12.0,0.14266666666666666
0.0,,,,,7.0,test,8.0,29.333333333333332,34.66666666666667,16.0,22.666666666666664,0.2773333333333333
0.0,,,,,7.0,test,9.333333333333334,37.333333333333336,44.0,21.333333333333336,29.333333333333332,0.35133333333333333
0.0,,,,,7.0,test,12.0,49.333333333333336,58.666666666666664,28.000000000000004,41.333333333333336,0.4713333333333333
0.0,,,,,8.0,test,0.0,2.666666666666667,8.0,0.0,2.666666666666667,0.03333333333333333
0.0,,,,,8.0,test,5.333333333333334,12.0,21.333333333333336,6.666666666666667,10.666666666666668,0.13533333333333333
0.0,,,,,8.0,test,9.333333333333334,25.333333333333336,38.666666666666664,17.333333333333336,21.333333333333336,0.26666666666666666
0.0,,,,,8.0,test,12.0,37.333333333333336,50.66666666666667,25.333333333333336,29.333333333333332,0.37
0.0,,,,,8.0,test,16.0,49.333333333333336,62.66666666666667,30.666666666666664,38.666666666666664,0.4846666666666667
0.0,,,,,9.0,test,0.0,2.666666666666667,5.333333333333334,0.0,2.666666666666667,0.03333333333333333
0.0,,,,,9.0,test,4.0,14.666666666666666,17.333333333333336,10.666666666666668,13.333333333333334,0.14333333333333334
0.0,,,,,9.0,test,8.0,25.333333333333336,29.333333333333332,17.333333333333336,22.666666666666664,0.24133333333333334
0.0,,,,,9.0,test,9.333333333333334,36.0,41.333333333333336,24.0,30.666666666666664,0.33266666666666667
0.0,,,,,9.0,test,13.333333333333334,48.0,60.0,28.000000000000004,37.333333333333336,0.458
0.0,,,,,10.0,test,0.0,2.666666666666667,8.0,0.0,2.666666666666667,0.03333333333333333
0.0,,,,,10.0,test,1.3333333333333335,13.333333333333334,21.333333333333336,6.666666666666667,10.666666666666668,0.13533333333333333
0.0,,,,,10.0,test,4.0,24.0,33.33333333333333,13.333333333333334,20.0,0.23133333333333334
0.0,,,,,10.0,test,10.666666666666668,36.0,45.33333333333333,21.333333333333336,32.0,0.35
0.0,,,,,10.0,test,12.0,52.0,61.33333333333333,28.000000000000004,42.66666666666667,0.48933333333333334
0.0,,,,,11.0,test,0.0,2.666666666666667,8.0,0.0,1.3333333333333335,0.03666666666666667
0.0,,,,,11.0,test,1.3333333333333335,12.0,18.666666666666668,4.0,9.333333333333334,0.122
0.0,,,,,11.0,test,4.0,21.333333333333336,32.0,12.0,18.666666666666668,0.22933333333333333
0.0,,,,,11.0,test,8.0,36.0,46.666666666666664,20.0,30.666666666666664,0.352
0.0,,,,,11.0,test,10.666666666666668,49.333333333333336,61.33333333333333,25.333333333333336,38.666666666666664,0.4686666666666667
0.0,,,,,12.0,test,0.0,1.3333333333333335,5.333333333333334,0.0,1.3333333333333335,0.017333333333333333
0.0,,,,,12.0,test,0.0,12.0,21.333333333333336,2.666666666666667,9.333333333333334,0.12733333333333333
0.0,,,,,12.0,test,5.333333333333334,22.666666666666664,33.33333333333333,10.666666666666668,17.333333333333336,0.22933333333333333
0.0,,,,,12.0,test,8.0,33.33333333333333,46.666666666666664,18.666666666666668,25.333333333333336,0.33066666666666666
0.0,,,,,12.0,test,13.333333333333334,48.0,60.0,24.0,37.333333333333336,0.45666666666666667
0.0,,,,,13.0,test,0.0,4.0,9.333333333333334,0.0,2.666666666666667,0.04733333333333333
0.0,,,,,13.0,test,2.666666666666667,10.666666666666668,21.333333333333336,5.333333333333334,8.0,0.13
0.0,,,,,13.0,test,4.0,28.000000000000004,36.0,12.0,20.0,0.268
0.0,,,,,13.0,test,8.0,38.666666666666664,48.0,20.0,29.333333333333332,0.36666666666666664
0.0,,,,,13.0,test,9.333333333333334,50.66666666666667,65.33333333333333,26.666666666666668,40.0,0.492
0.0,,,,,14.0,test,0.0,0.0,2.666666666666667,0.0,0.0,0.011333333333333334
0.0,,,,,14.0,test,5.333333333333334,13.333333333333334,18.666666666666668,6.666666666666667,9.333333333333334,0.136
0.0,,,,,14.0,test,9.333333333333334,25.333333333333336,32.0,13.333333333333334,16.0,0.244
0.0,,,,,14.0,test,10.666666666666668,37.333333333333336,44.0,17.333333333333336,25.333333333333336,0.342
0.0,,,,,14.0,test,12.0,45.33333333333333,56.00000000000001,22.666666666666664,32.0,0.4246666666666667
0.0,,,,,15.0,test,0.0,1.3333333333333335,4.0,0.0,1.3333333333333335,0.013333333333333334
0.0,,,,,15.0,test,4.0,10.666666666666668,17.333333333333336,4.0,8.0,0.10533333333333333
0.0,,,,,15.0,test,6.666666666666667,21.333333333333336,28.000000000000004,12.0,17.333333333333336,0.198
0.0,,,,,15.0,test,12.0,37.333333333333336,46.666666666666664,22.666666666666664,30.666666666666664,0.36
0.0,,,,,15.0,test,12.0,49.333333333333336,60.0,24.0,38.666666666666664,0.4666666666666667
