D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.5,1.0811089491728565,-5.484805034036603,-3.6751319398341447,8,train,28.000000000000004,68.0,74.0,52.0,57.99999999999999,0.648
0.0,,,,8,test,22.0,72.0,79.0,47.0,61.0,0.659
0.001,1.0090002876211834,-5.414392737717145,-0.014762720061700848,9,train,36.0,74.0,82.0,64.0,72.0,0.733
0.005,1.0090002876211834,-5.402119044715028,-0.07155517527660588,9,train,36.0,74.0,82.0,64.0,72.0,0.733
0.01,1.0090002876211834,-5.38847760824294,-0.14078762335986722,9,train,36.0,74.0,82.0,64.0,72.0,0.733
0.05,1.0090002876211834,-5.319207676970361,-0.6306884882945074,9,train,38.0,78.0,82.0,62.0,74.0,0.742
0.1,1.0090002876211834,-5.208117242719749,-1.1677321068161213,9,train,36.0,78.0,82.0,57.99999999999999,74.0,0.739
0.15,1.0090002876211834,-5.039959869584378,-1.588708437714268,9,train,36.0,76.0,82.0,60.0,74.0,0.733
0.25,1.0090002876211834,-5.0385180412695085,-2.0751843117218898,9,train,34.0,76.0,82.0,64.0,72.0,0.734
0.35,1.0090002876211834,-5.095341664656778,-2.360269740585379,9,train,32.0,74.0,82.0,60.0,70.0,0.722
0.5,1.0090002876211834,-5.150011562322971,-2.620249293201696,9,train,32.0,74.0,78.0,57.99999999999999,64.0,0.696
0.0,,,,9,test,23.0,73.0,82.0,50.0,60.0,0.6765
0.001,1.012871547429889,-7.358617479252542,-0.015427866834993602,10,train,22.0,68.0,76.0,52.0,57.99999999999999,0.637
0.005,1.012871547429889,-7.34187016409536,-0.07713933417496802,10,train,22.0,68.0,76.0,52.0,57.99999999999999,0.639
0.01,1.012871547429889,-7.314418706778428,-0.15427866834993603,10,train,22.0,70.0,76.0,52.0,56.00000000000001,0.642
0.05,1.012871547429889,-7.130838479947874,-0.6521167429555679,10,train,20.0,72.0,76.0,50.0,57.99999999999999,0.646
0.1,1.012871547429889,-7.031821301693889,-1.1074772592433686,10,train,24.0,72.0,76.0,50.0,57.99999999999999,0.649
0.15,1.012871547429889,-6.853598892279158,-1.5070397554678274,10,train,24.0,72.0,76.0,50.0,57.99999999999999,0.65
0.25,1.012871547429889,-6.589283579107616,-2.2274126500040916,10,train,20.0,70.0,78.0,50.0,57.99999999999999,0.641
0.35,1.012871547429889,-6.32758107700657,-2.9164102205635336,10,train,20.0,68.0,76.0,48.0,60.0,0.63
0.5,1.012871547429889,-5.778590769987452,-3.851311350135824,10,train,16.0,68.0,76.0,48.0,56.00000000000001,0.611
0.0,,,,10,test,20.0,68.0,79.0,42.0,52.0,0.631
0.001,1.139872059040666,-5.927523641224,-0.0392818697738975,11,train,16.0,60.0,68.0,34.0,48.0,0.554
0.005,1.139872059040666,-5.834739819353688,-0.16607163465771987,11,train,16.0,64.0,68.0,32.0,48.0,0.558
0.01,1.139872059040666,-5.7558715866781585,-0.2878326941845053,11,train,18.0,64.0,68.0,36.0,48.0,0.567
0.05,1.139872059040666,-5.548071204207438,-0.8424075249588905,11,train,16.0,64.0,70.0,34.0,46.0,0.565
0.1,1.139872059040666,-5.703872710215534,-1.1726091474266642,11,train,18.0,62.0,74.0,38.0,46.0,0.564
0.15,1.139872059040666,-6.0652067689465206,-1.3897171498114327,11,train,18.0,62.0,72.0,36.0,48.0,0.563
0.25,1.139872059040666,-6.673359714319146,-1.664166898683417,11,train,16.0,62.0,72.0,32.0,42.0,0.554
0.35,1.139872059040666,-6.952394227565049,-1.8700023780078374,11,train,14.000000000000002,62.0,68.0,30.0,42.0,0.546
0.5,1.139872059040666,-6.8242188062974245,-2.0889717852153047,11,train,16.0,56.00000000000001,66.0,30.0,34.0,0.508
0.0,,,,11,test,20.0,68.0,73.0,49.0,56.99999999999999,0.629
0.001,1.0759147570561038,-5.054125343881594,-0.01682188275253701,12,train,28.000000000000004,66.0,72.0,50.0,57.99999999999999,0.621
0.005,1.0759147570561038,-5.028818060168367,-0.08313022953303284,12,train,28.000000000000004,66.0,72.0,50.0,57.99999999999999,0.624
0.01,1.0759147570561038,-5.0069793507916796,-0.1570790709301679,12,train,30.0,66.0,72.0,50.0,57.99999999999999,0.625
0.05,1.0759147570561038,-4.938079098405734,-0.6448543417619215,12,train,30.0,64.0,72.0,48.0,57.99999999999999,0.618
0.1,1.0759147570561038,-5.1332751710037785,-1.0784147038457852,12,train,28.000000000000004,62.0,70.0,50.0,57.99999999999999,0.606
0.15,1.0759147570561038,-5.218616783524805,-1.446393727374191,12,train,26.0,62.0,70.0,50.0,56.00000000000001,0.599
0.25,1.0759147570561038,-5.640753989196844,-1.9311585088564676,12,train,26.0,57.99999999999999,68.0,48.0,54.0,0.571
0.35,1.0759147570561038,-6.065562798252288,-2.2368417565485648,12,train,26.0,57.99999999999999,68.0,46.0,52.0,0.561
0.5,1.0759147570561038,-6.253982555642065,-2.521373131047948,12,train,26.0,60.0,66.0,42.0,48.0,0.551
0.0,,,,12,test,23.0,66.0,75.0,46.0,56.00000000000001,0.622
0.001,1.059963514907302,-5.930376676977823,-0.016736892031888818,13,train,24.0,72.0,84.0,44.0,52.0,0.65
0.005,1.059963514907302,-5.904398705654732,-0.07679924241768028,13,train,24.0,72.0,84.0,42.0,52.0,0.65
0.01,1.059963514907302,-5.879085166268451,-0.13753860646272228,13,train,28.000000000000004,72.0,84.0,44.0,52.0,0.653
0.05,1.059963514907302,-5.879033344137974,-0.4835130601839416,13,train,26.0,66.0,80.0,44.0,52.0,0.623
0.1,1.059963514907302,-5.9715355664373355,-0.7528776960154571,13,train,26.0,66.0,78.0,44.0,50.0,0.626
0.15,1.059963514907302,-6.0039265367894314,-0.9621566048727143,13,train,26.0,62.0,80.0,42.0,52.0,0.619
0.25,1.059963514907302,-5.914073582498316,-1.261403012439844,13,train,24.0,64.0,78.0,44.0,54.0,0.62
0.35,1.059963514907302,-5.8564054586629375,-1.4936405589072999,13,train,24.0,66.0,76.0,44.0,54.0,0.621
0.5,1.059963514907302,-5.904076555014638,-1.6981539089251405,13,train,24.0,64.0,76.0,42.0,54.0,0.62
0.0,,,,13,test,21.0,67.0,78.0,47.0,57.99999999999999,0.637
0.001,1.1236315344231027,-5.882220840159582,-0.023932812005073297,14,train,24.0,74.0,84.0,42.0,57.99999999999999,0.669
0.005,1.1236315344231027,-5.817896747491676,-0.11814718155120216,14,train,24.0,74.0,84.0,42.0,57.99999999999999,0.669
0.01,1.1236315344231027,-5.757672915835342,-0.2249024202005398,14,train,24.0,74.0,84.0,44.0,60.0,0.676
0.05,1.1236315344231027,-5.55344572509021,-0.7920491112246774,14,train,28.000000000000004,70.0,84.0,50.0,68.0,0.681
0.1,1.1236315344231027,-5.353321295217515,-1.2599118173661505,14,train,28.000000000000004,72.0,84.0,54.0,66.0,0.688
0.15,1.1236315344231027,-4.964670946618217,-1.6619141266871327,14,train,30.0,70.0,82.0,54.0,66.0,0.687
0.25,1.1236315344231027,-4.71151434715147,-2.096507164262088,14,train,32.0,70.0,84.0,54.0,66.0,0.693
0.35,1.1236315344231027,-4.5903613892515835,-2.369101997986413,14,train,26.0,70.0,86.0,54.0,64.0,0.687
0.5,1.1236315344231027,-4.652566734490426,-2.466072537608062,14,train,24.0,70.0,82.0,48.0,64.0,0.672
0.0,,,,14,test,17.0,71.0,78.0,50.0,62.0,0.6525
0.001,1.0417550030896354,-6.255990870030667,-0.031140651988441213,15,train,24.0,66.0,80.0,44.0,56.00000000000001,0.645
0.005,1.0417550030896354,-6.214970086118899,-0.1346168482404304,15,train,24.0,68.0,80.0,44.0,56.00000000000001,0.648
0.01,1.0417550030896354,-6.196289745996592,-0.2315761670963404,15,train,28.000000000000004,68.0,80.0,44.0,56.00000000000001,0.651
0.05,1.0417550030896354,-6.118569528438624,-0.8089618661411752,15,train,26.0,70.0,78.0,44.0,56.00000000000001,0.648
0.1,1.0417550030896354,-6.251083077239465,-1.1443214302441294,15,train,24.0,68.0,78.0,44.0,56.00000000000001,0.642
0.15,1.0417550030896354,-6.497705781495341,-1.3143491284183324,15,train,26.0,68.0,76.0,42.0,56.00000000000001,0.626
0.25,1.0417550030896354,-6.929782049287396,-1.5324281194359517,15,train,22.0,64.0,76.0,40.0,52.0,0.61
0.35,1.0417550030896354,-7.398061089903369,-1.6627088279338456,15,train,22.0,62.0,72.0,36.0,48.0,0.574
0.5,1.0417550030896354,-7.567415495070562,-1.8011189373112475,15,train,22.0,60.0,68.0,36.0,46.0,0.547
0.0,,,,15,test,23.0,71.0,78.0,47.0,61.0,0.6565
0.001,1.0673144906118872,-4.168072961774257,-0.024198894677025455,16,train,26.0,70.0,80.0,52.0,62.0,0.675
0.005,1.0673144906118872,-4.146785946339341,-0.10996392708838815,16,train,26.0,70.0,80.0,52.0,60.0,0.674
0.01,1.0673144906118872,-4.144596099205925,-0.19755263263170839,16,train,26.0,70.0,80.0,52.0,57.99999999999999,0.675
0.05,1.0673144906118872,-4.282012453169761,-0.7415117699030347,16,train,28.000000000000004,68.0,82.0,50.0,57.99999999999999,0.673
0.1,1.0673144906118872,-4.697410224858124,-1.1917913692799271,16,train,26.0,72.0,80.0,50.0,57.99999999999999,0.667
0.15,1.0673144906118872,-5.186610463961892,-1.4653419672862087,16,train,26.0,66.0,80.0,46.0,54.0,0.647
0.25,1.0673144906118872,-6.195557947478739,-1.9013460921282066,16,train,24.0,64.0,76.0,46.0,52.0,0.621
0.35,1.0673144906118872,-6.965817911405982,-2.237050393636385,16,train,24.0,62.0,74.0,44.0,52.0,0.608
0.5,1.0673144906118872,-7.906840262876116,-2.5990838786970825,16,train,20.0,57.99999999999999,72.0,40.0,50.0,0.558
0.0,,,,16,test,26.0,74.0,78.0,55.00000000000001,66.0,0.681
0.001,1.0402527863558402,-6.85505475873604,-0.023309318958858266,17,train,22.0,64.0,76.0,48.0,60.0,0.632
0.005,1.0402527863558402,-6.79453076791217,-0.10148178694512783,17,train,26.0,66.0,76.0,48.0,60.0,0.644
0.01,1.0402527863558402,-6.761569099635679,-0.17791378205556227,17,train,26.0,66.0,76.0,48.0,60.0,0.645
0.05,1.0402527863558402,-6.581612117255131,-0.6795757299235105,17,train,26.0,66.0,76.0,48.0,62.0,0.652
0.1,1.0402527863558402,-6.347208157542396,-1.2641193358514555,17,train,26.0,68.0,76.0,52.0,62.0,0.658
0.15,1.0402527863558402,-6.081594948380259,-1.819668859914401,17,train,26.0,68.0,76.0,54.0,62.0,0.662
0.25,1.0402527863558402,-5.655014344722064,-2.836993675218392,17,train,28.000000000000004,68.0,76.0,50.0,62.0,0.663
0.35,1.0402527863558402,-5.613582077203084,-3.5511050867020892,17,train,26.0,68.0,76.0,52.0,57.99999999999999,0.654
0.5,1.0402527863558402,-6.1023363072736245,-4.238805393163381,17,train,26.0,66.0,76.0,44.0,48.0,0.61
0.0,,,,17,test,20.0,70.0,78.0,47.0,57.99999999999999,0.639
0.001,1.0181301180221352,-6.100355724173864,-0.027748238353062716,18,train,32.0,74.0,80.0,57.99999999999999,62.0,0.693
0.005,1.0181301180221352,-6.015087208400364,-0.13872957832682695,18,train,34.0,76.0,80.0,57.99999999999999,62.0,0.7
0.01,1.0181301180221352,-5.934980776636646,-0.2606160254974684,18,train,34.0,76.0,80.0,57.99999999999999,64.0,0.702
0.05,1.0181301180221352,-5.550675135643836,-0.9352877443884444,18,train,30.0,78.0,80.0,60.0,64.0,0.713
0.1,1.0181301180221352,-5.318589459043816,-1.5303897463241405,18,train,30.0,78.0,80.0,57.99999999999999,64.0,0.708
0.15,1.0181301180221352,-5.183667629076179,-2.0048962276417432,18,train,32.0,74.0,80.0,57.99999999999999,64.0,0.69
0.25,1.0181301180221352,-5.131145951187375,-2.6043630674074927,18,train,30.0,72.0,80.0,57.99999999999999,60.0,0.683
0.35,1.0181301180221352,-5.236548006912621,-2.8894636382162764,18,train,30.0,72.0,82.0,54.0,60.0,0.693
0.5,1.0181301180221352,-5.5589567566110025,-3.1507720495280567,18,train,28.000000000000004,70.0,80.0,54.0,60.0,0.672
0.0,,,,18,test,27.0,65.0,75.0,52.0,56.00000000000001,0.6205
0.001,1.0400804349519543,-3.09061042565994,-0.026855206948501104,19,train,24.0,76.0,88.0,48.0,62.0,0.711
0.005,1.0400804349519543,-3.0713266431362416,-0.11573098844236834,19,train,24.0,76.0,88.0,48.0,62.0,0.714
0.01,1.0400804349519543,-3.095718758620976,-0.19139890648155522,19,train,26.0,76.0,88.0,50.0,60.0,0.714
0.05,1.0400804349519543,-3.1708275082697073,-0.657870635530345,19,train,28.000000000000004,76.0,88.0,48.0,60.0,0.715
0.1,1.0400804349519543,-3.1957065946195136,-1.0275447019007644,19,train,30.0,74.0,88.0,48.0,60.0,0.704
0.15,1.0400804349519543,-3.357112627373972,-1.287263313244853,19,train,32.0,74.0,86.0,46.0,60.0,0.696
0.25,1.0400804349519543,-3.789895818009438,-1.6925410881036067,19,train,34.0,68.0,80.0,46.0,57.99999999999999,0.67
0.35,1.0400804349519543,-3.953101742735369,-1.8947743520138736,19,train,32.0,68.0,80.0,48.0,56.00000000000001,0.653
0.5,1.0400804349519543,-4.369370072971284,-1.9544541446926036,19,train,28.000000000000004,66.0,76.0,48.0,56.00000000000001,0.628
0.0,,,,19,test,15.0,68.0,75.0,41.0,56.00000000000001,0.6165
0.001,1.008571654994191,-6.616597912911666,-0.014128398649029504,20,train,12.0,56.00000000000001,72.0,36.0,52.0,0.552
0.005,1.008571654994191,-6.588993100054447,-0.07064199324514751,20,train,12.0,56.00000000000001,72.0,36.0,52.0,0.553
0.01,1.008571654994191,-6.550063944594419,-0.14128398649029503,20,train,12.0,56.00000000000001,72.0,38.0,52.0,0.554
0.05,1.008571654994191,-6.331936837983062,-0.6116752416199677,20,train,10.0,56.00000000000001,72.0,40.0,52.0,0.558
0.1,1.008571654994191,-6.147021295585676,-1.0909312881300368,20,train,8.0,62.0,72.0,38.0,52.0,0.56
0.15,1.008571654994191,-5.916407704734966,-1.4760234936403052,20,train,8.0,62.0,72.0,32.0,54.0,0.561
0.25,1.008571654994191,-5.4928883747001604,-2.05142772028465,20,train,10.0,62.0,72.0,38.0,48.0,0.559
0.35,1.008571654994191,-5.489080696899435,-2.403223352160489,20,train,14.000000000000002,57.99999999999999,72.0,34.0,48.0,0.551
0.5,1.008571654994191,-6.2422874679428615,-2.609498807826413,20,train,10.0,56.00000000000001,64.0,32.0,44.0,0.518
0.0,,,,20,test,25.0,70.0,77.0,51.0,56.00000000000001,0.6485
0.001,1.0332050443095633,-4.337634495064583,-0.01848615504324814,21,train,32.0,76.0,88.0,54.0,64.0,0.728
0.005,1.0332050443095633,-4.299929289479626,-0.09243077521624068,21,train,32.0,76.0,88.0,54.0,64.0,0.732
0.01,1.0332050443095633,-4.264658506975744,-0.1741764619749302,21,train,34.0,76.0,88.0,54.0,64.0,0.734
0.05,1.0332050443095633,-4.224699071200654,-0.5863288289366786,21,train,36.0,78.0,88.0,54.0,66.0,0.738
0.1,1.0332050443095633,-4.3860647280145635,-0.8322359905458819,21,train,36.0,74.0,86.0,52.0,64.0,0.71
0.15,1.0332050443095633,-4.459936367615872,-1.030000870182903,21,train,36.0,72.0,84.0,52.0,62.0,0.698
0.25,1.0332050443095633,-4.82273273518959,-1.3079724636712857,21,train,36.0,68.0,80.0,54.0,62.0,0.672
0.35,1.0332050443095633,-4.970270002394638,-1.5557262070450217,21,train,34.0,68.0,78.0,54.0,64.0,0.659
0.5,1.0332050443095633,-5.023140524166968,-1.8171107760955825,21,train,36.0,68.0,76.0,56.00000000000001,62.0,0.652
0.0,,,,21,test,20.0,63.0,72.0,40.0,50.0,0.581
0.001,1.0835268158167466,-3.999502326984516,-0.026622253702303183,22,train,26.0,66.0,78.0,50.0,56.00000000000001,0.63
0.005,1.0835268158167466,-3.9498780901692925,-0.12045442756013178,22,train,26.0,66.0,78.0,50.0,56.00000000000001,0.631
0.01,1.0835268158167466,-3.892748784993197,-0.2348910464904269,22,train,26.0,68.0,78.0,52.0,57.99999999999999,0.638
0.05,1.0835268158167466,-3.766126130712984,-0.8514959954553101,22,train,28.000000000000004,66.0,80.0,54.0,60.0,0.649
0.1,1.0835268158167466,-3.8527546868323603,-1.2958517828329215,22,train,28.000000000000004,64.0,78.0,52.0,60.0,0.638
0.15,1.0835268158167466,-3.9183079556795803,-1.6365786704103877,22,train,30.0,64.0,78.0,50.0,60.0,0.638
0.25,1.0835268158167466,-4.101224376527634,-2.0838966713955416,22,train,34.0,66.0,78.0,52.0,56.00000000000001,0.637
0.35,1.0835268158167466,-4.671925144830911,-2.2900266448748106,22,train,32.0,64.0,70.0,52.0,57.99999999999999,0.61
0.5,1.0835268158167466,-4.87289341589072,-2.5553647843144014,22,train,28.000000000000004,62.0,70.0,50.0,57.99999999999999,0.601
0.0,,,,22,test,21.0,67.0,74.0,41.0,57.99999999999999,0.618
0.001,1.3475969219904365,-5.407006230547562,-0.03918497887650872,23,train,20.0,64.0,70.0,46.0,60.0,0.603
0.005,1.3475969219904365,-5.354638158830305,-0.1439950354797822,23,train,20.0,64.0,70.0,46.0,60.0,0.605
