D,k,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,9,test,10.76923076923077,52.307692307692314,66.15384615384615,29.230769230769234,38.46153846153847,0.49615384615384617
0.0,,9,test,13.846153846153847,61.53846153846154,73.84615384615385,35.38461538461539,44.61538461538462,0.5753846153846154
0.0,,10,test,6.153846153846154,30.76923076923077,38.46153846153847,18.461538461538463,20.0,0.28923076923076924
0.0,,10,test,7.6923076923076925,43.07692307692308,50.76923076923077,21.53846153846154,29.230769230769234,0.3853846153846154
0.0,,10,test,18.461538461538463,58.46153846153847,63.07692307692307,33.84615384615385,44.61538461538462,0.5246153846153846
0.0,,10,test,23.076923076923077,67.6923076923077,73.84615384615385,40.0,53.84615384615385,0.6123076923076923
0.0,,10,test,24.615384615384617,73.84615384615385,81.53846153846153,44.61538461538462,60.0,0.6738461538461539
0.0,,11,test,9.230769230769232,24.615384615384617,32.30769230769231,15.384615384615385,23.076923076923077,0.25384615384615383
0.0,,11,test,13.846153846153847,38.46153846153847,46.15384615384615,20.0,30.76923076923077,0.3638461538461538
0.0,,11,test,15.384615384615385,44.61538461538462,58.46153846153847,24.615384615384617,36.92307692307693,0.43846153846153846
0.0,,11,test,21.53846153846154,56.92307692307692,70.76923076923077,36.92307692307693,49.23076923076923,0.56
0.0,,11,test,24.615384615384617,73.84615384615385,83.07692307692308,44.61538461538462,61.53846153846154,0.6884615384615385
0.0,,12,test,4.615384615384616,24.615384615384617,32.30769230769231,20.0,21.53846153846154,0.24769230769230768
0.0,,12,test,7.6923076923076925,36.92307692307693,43.07692307692308,26.153846153846157,29.230769230769234,0.3476923076923077
0.0,,12,test,10.76923076923077,46.15384615384615,52.307692307692314,32.30769230769231,36.92307692307693,0.4330769230769231
0.0,,12,test,12.307692307692308,55.38461538461539,64.61538461538461,36.92307692307693,43.07692307692308,0.5207692307692308
0.0,,12,test,16.923076923076923,66.15384615384615,78.46153846153847,44.61538461538462,53.84615384615385,0.6330769230769231
0.0,,13,test,4.615384615384616,27.692307692307693,32.30769230769231,16.923076923076923,20.0,0.25461538461538463
0.0,,13,test,6.153846153846154,35.38461538461539,41.53846153846154,24.615384615384617,29.230769230769234,0.34
