D,k,p_marg,p_max,sample,set,top1,top10,top20,top3,top5,topk_auc
0.0,,,,1,test,10.666666666666668,50.66666666666667,64.0,29.333333333333332,41.333333333333336,0.49266666666666664
0.001,0.9687836928041448,-289.6303695863656,-1.0,2,train,15.384615384615385,57.692307692307686,69.23076923076923,32.69230769230769,44.230769230769226,0.5480769230769231
0.005,0.9687836928041448,-289.6398429253373,-1.0,2,train,15.384615384615385,59.61538461538461,69.23076923076923,32.69230769230769,42.30769230769231,0.5490384615384616
0.01,0.9687836928041448,-289.65409080761424,-1.0,2,train,15.384615384615385,61.53846153846154,71.15384615384616,34.61538461538461,42.30769230769231,0.5480769230769231
0.05,0.9687836928041448,-289.8658114244898,-1.0,2,train,17.307692307692307,65.38461538461539,71.15384615384616,36.53846153846153,44.230769230769226,0.5692307692307692
0.1,0.9687836928041448,-290.37250294302277,-1.0,2,train,17.307692307692307,65.38461538461539,69.23076923076923,38.46153846153847,50.0,0.5807692307692308
0.15,0.9687836928041448,-291.1296862842685,-1.0,2,train,19.230769230769234,65.38461538461539,69.23076923076923,38.46153846153847,55.769230769230774,0.5894230769230769
0.25,0.9687836928041448,-293.28961343569597,-1.0,2,train,19.230769230769234,63.46153846153846,65.38461538461539,40.38461538461539,48.07692307692308,0.5605769230769231
0.35,0.9687836928041448,-296.16501968272604,-1.0,2,train,17.307692307692307,50.0,59.61538461538461,34.61538461538461,44.230769230769226,0.4894230769230769
0.5,0.9687836928041448,-301.5980685576188,-1.0,2,train,15.384615384615385,48.07692307692308,55.769230769230774,36.53846153846153,42.30769230769231,0.4625
0.0,,,,2,test,10.666666666666668,41.333333333333336,50.66666666666667,18.666666666666668,32.0,0.38333333333333336
0.001,0.9687836928041448,-282.5094652160093,-1.0,3,train,11.538461538461538,50.0,63.46153846153846,25.0,32.69230769230769,0.4625
0.005,0.9687836928041448,-282.5000872798022,-1.0,3,train,11.538461538461538,50.0,63.46153846153846,25.0,30.76923076923077,0.46057692307692305
